"","cancion_nombre","cancion_popularidad","cancion_artista","cancion_artista_completo","cancion_album","cancion_numero","pais_nombre","feature_bailabilidad","feature_energia","feature_clave","feature_fuerza","feature_modo","feature_hablado","feature_acustico","feature_instrumental","feature_en_vivo","feature_positividad","feature_tempo","feature_duracion_ms","feature_tiempo_compas","album_fecha"
"55","Pa Mí - Remix",87,"Dalex","Dalex feat. Rafa Pabön feat. Khea feat. Sech feat. Cazzu feat. Feid feat. Lenny Tavárez","Pa Mí (Remix)",3,"la Republica Dominicana",0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,360960,4,"2019-02-07"
"56","Con Calma",95,"Daddy Yankee","Daddy Yankee feat. Snow","Con Calma",4,"la Republica Dominicana",0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,4,"2019-01-24"
"57","Si Se Da",86,"Myke Towers","Myke Towers feat. Farruko","Si Se Da",5,"la Republica Dominicana",0.83,0.71,11,-5.523,0,0.326,0.374,0,0.0877,0.703,93.977,237013,4,"2019-02-26"
"58","Tiempo",47,"Albert Gonzalez","Albert Gonzalez feat. J.Beren feat. Kira Brown","Tiempo",6,"la Republica Dominicana",0.88,0.6,0,-8.21,1,0.0924,0.282,8.94e-05,0.0872,0.535,95.015,192000,4,"2019-04-05"
"59","Secreto",90,"Anuel Aa","Anuel Aa feat. Karol G","Secreto",7,"la Republica Dominicana",0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,258800,4,"2019-01-15"
"60","Caro",79,"Bad Bunny","Bad Bunny","X 100PRE",8,"la Republica Dominicana",0.651,0.575,0,-7.739,1,0.299,0.627,0.000202,0.0961,0.248,160.007,229456,4,"2018-12-23"
"61","Calma - Remix",91,"Pedro Capó","Pedro Capó feat. Farruko","Calma (Remix)",9,"la Republica Dominicana",0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,238200,4,"2018-10-05"
"62","Tuyo",41,"J.Beren","J.Beren","Tuyo",10,"la Republica Dominicana",0.811,0.881,7,-2.757,0,0.0405,0.183,0.00148,0.0651,0.649,99.987,175800,4,"2019-02-22"
"63","La Romana",80,"Bad Bunny","Bad Bunny feat. El Alfa","X 100PRE",11,"la Republica Dominicana",0.655,0.725,0,-5.497,1,0.188,0.0327,0.00264,0.0611,0.326,125.8,300579,4,"2018-12-23"
"64","Hope",40,"Mike Wit","Mike Wit","Hope",12,"la Republica Dominicana",0.694,0.581,6,-7.382,1,0.0496,0.843,2.12e-06,0.0823,0.664,107.059,172722,4,"2019-04-12"
"65","Baila Baila Baila",88,"Ozuna","Ozuna","Baila Baila Baila",13,"la Republica Dominicana",0.816,0.754,11,-2.75,0,0.111,0.0361,0,0.217,0.533,99.966,158400,4,"2019-01-05"
"66","Si Estuviésemos Juntos",81,"Bad Bunny","Bad Bunny","X 100PRE",14,"la Republica Dominicana",0.672,0.594,1,-6.813,0,0.0789,0.0626,5.14e-05,0.152,0.158,171.854,169248,4,"2018-12-23"
"67","Esclavo de Tus Besos",87,"Manuel Turizo","Manuel Turizo feat. Ozuna","Esclavo de Tus Besos",15,"la Republica Dominicana",0.805,0.671,5,-5.316,1,0.111,0.113,0,0.278,0.522,90.979,219302,4,"2019-02-15"
"68","Amanece",87,"Anuel Aa","Anuel Aa feat. Haze","Amanece",16,"la Republica Dominicana",0.79,0.631,8,-5.549,0,0.0425,0.437,0,0.158,0.889,94.039,190005,4,"2018-12-14"
"69","Te Robaré",91,"Nicky Jam","Nicky Jam feat. Ozuna","Te Robaré",17,"la Republica Dominicana",0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,201818,4,"2019-03-22"
"70","Lo Prohibido",40,"Mike Wit","Mike Wit feat. D3llano feat. Life After Party feat. J. Parker","Lo Prohibido",18,"la Republica Dominicana",0.633,0.677,7,-8.124,1,0.29,0.207,0,0.12,0.562,89.899,214667,4,"2018-08-10"
"71","Solo de Mi",74,"Bad Bunny","Bad Bunny","X 100PRE",19,"la Republica Dominicana",0.743,0.73,10,-4.314,0,0.125,0.287,8.1e-05,0.0778,0.15,179.972,197968,4,"2018-12-23"
"72","Aullando",86,"Wisin & Yandel","Wisin & Yandel feat. Romeo Santos","Los Campeones del Pueblo ""The Big Leagues""",20,"la Republica Dominicana",0.8,0.74,10,-4.52,0,0.0479,0.184,0,0.0558,0.775,90.035,226200,4,"2018-12-14"
"73","NI BIEN NI MAL",82,"Bad Bunny","Bad Bunny","X 100PRE",21,"la Republica Dominicana",0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-05,0.273,0.337,128.028,236216,4,"2018-12-23"
"74","MIA (feat. Drake)",88,"Bad Bunny","Bad Bunny feat. Drake","MIA (feat. Drake)",22,"la Republica Dominicana",0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4,"2018-10-11"
"75","Pomposo (Remix) [feat. Yomel el Meloso, Shadow Blow & Bulova]",66,"El Alfa","El Alfa feat. Jowell & Randy feat. Zion & Lennox feat. Bulova feat. Shadow Blow feat. Yomel El Meloso","Pomposo (Remix) [feat. Yomel el Meloso, Shadow Blow & Bulova]",23,"la Republica Dominicana",0.871,0.931,8,-3.647,1,0.0503,0.305,0.00275,0.232,0.767,125.03,225600,4,"2019-02-22"
"76","Desconocidos",87,"Mau y Ricky","Mau y Ricky feat. Manuel Turizo feat. Camilo","Desconocidos",24,"la Republica Dominicana",0.709,0.771,7,-4.598,1,0.166,0.146,3.29e-06,0.249,0.709,174.006,204453,4,"2018-10-12"
"77","Ella Quiere Beber - Remix",86,"Anuel Aa","Anuel Aa feat. Romeo Santos","Ella Quiere Beber (Remix)",25,"la Republica Dominicana",0.75,0.665,8,-3.083,1,0.124,0.265,0,0.0515,0.697,95.239,219357,4,"2018-11-02"
"78","Un Año",85,"Sebastian Yatra","Sebastian Yatra feat. Reik","Un Año",26,"la Republica Dominicana",0.771,0.382,1,-6.808,0,0.0514,0.148,0,0.104,0.535,94.931,164440,4,"2019-01-18"
"79","Adictiva",84,"Daddy Yankee","Daddy Yankee feat. Anuel Aa","Adictiva",27,"la Republica Dominicana",0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-05,0.172,0.701,99.038,207853,4,"2018-11-09"
"80","Bubalu",81,"Becky G","Becky G feat. Prince Royce feat. DJ Luian feat. Mambo Kingz feat. Anuel Aa","Bubalu",28,"la Republica Dominicana",0.8,0.355,6,-10.47,0,0.0895,0.616,0,0.118,0.253,145.929,228493,4,"2018-11-06"
"81","Que Le De",83,"Rauw Alejandro","Rauw Alejandro feat. Nicky Jam","Que Le De",29,"la Republica Dominicana",0.77,0.75,0,-2.715,1,0.0785,0.19,0,0.0618,0.609,99.997,225600,4,"2019-01-25"
"82","Otra Noche en Miami",75,"Bad Bunny","Bad Bunny","X 100PRE",30,"la Republica Dominicana",0.514,0.646,1,-8.833,1,0.275,0.197,2.3e-05,0.0958,0.297,88.661,233128,4,"2018-12-23"
"83","Con Altura",90,"ROSALÍA","ROSALÍA feat. J Balvin feat. El Guincho","Con Altura",31,"la Republica Dominicana",0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,161627,4,"2019-03-28"
"84","200 Mph",76,"Bad Bunny","Bad Bunny feat. Diplo feat. Nitti Gritti","X 100PRE",32,"la Republica Dominicana",0.85,0.5,8,-6.708,1,0.0665,0.0139,0.000384,0.0947,0.816,160.02,170509,4,"2018-12-23"
"85","HP",91,"Maluma","Maluma","HP",33,"la Republica Dominicana",0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,184436,4,"2019-03-01"
"86","Me Ignoras (feat. Kayl)",29,"Mike Wit","Mike Wit feat. Kayl","Me Ignoras (feat. Kayl)",34,"la Republica Dominicana",0.659,0.744,5,-4.801,0,0.0449,0.24,0,0.166,0.694,105.988,173595,4,"2019-03-01"
"87","Baby",82,"Amenazzy","Amenazzy feat. Nicky Jam feat. Farruko","Baby",35,"la Republica Dominicana",0.7,0.71,11,-4.835,1,0.0532,0.327,0,0.129,0.582,167.971,235973,4,"2018-12-21"
"88","Controla",80,"Brytiago","Brytiago feat. Anuel Aa","Controla",36,"la Republica Dominicana",0.758,0.699,6,-5.636,1,0.171,0.504,0,0.0922,0.594,90.013,208000,4,"2019-02-15"
"89","bad guy",100,"Billie Eilish","Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",37,"la Republica Dominicana",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,"2019-03-29"
"90","Créeme",83,"Karol G","Karol G feat. Maluma","Créeme",38,"la Republica Dominicana",0.715,0.872,6,-3.501,1,0.0547,0.154,0.000146,0.11,0.682,96.939,212493,4,"2018-11-02"
"91","Vaina Loca",83,"Ozuna","Ozuna feat. Manuel Turizo","Aura",39,"la Republica Dominicana",0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.983,176133,4,"2018-08-24"
"92","Ibiza",78,"Ozuna","Ozuna feat. Romeo Santos","Aura",40,"la Republica Dominicana",0.691,0.71,5,-5.144,1,0.334,0.254,0,0.108,0.726,192.046,200747,4,"2018-08-24"
"93","Adan y Eva",87,"Paulo Londra","Paulo Londra","Adan y Eva",41,"la Republica Dominicana",0.767,0.709,1,-4.47,1,0.336,0.323,0,0.0676,0.72,171.993,258639,4,"2018-11-05"
"94","Soltera",83,"Lunay","Lunay feat. Chris Jeday feat. Gaby Music","Soltera",42,"la Republica Dominicana",0.778,0.731,5,-4.325,1,0.0399,0.446,0,0.251,0.854,91.991,213913,4,"2019-02-21"
"95","Culpables",80,"Karol G","Karol G feat. Anuel Aa","Culpables",43,"la Republica Dominicana",0.728,0.801,8,-2.942,0,0.0683,0.279,4.71e-06,0.143,0.416,130.059,226627,4,"2018-09-14"
"96","Pa Olvidarte (feat. Manuel Turizo) - Remix",83,"ChocQuibTown","ChocQuibTown feat. Zion & Lennox feat. Farruko feat. Manuel Turizo","Pa Olvidarte (feat. Manuel Turizo) [Remix]",44,"la Republica Dominicana",0.724,0.791,7,-5.411,1,0.169,0.0441,6.55e-06,0.239,0.856,176.011,256418,4,"2019-02-01"
"97","7 rings",89,"Ariana Grande","Ariana Grande","thank u, next",45,"la Republica Dominicana",0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,178627,4,"2019-02-08"
"98","Te Vi",88,"Piso 21","Piso 21 feat. Micro Tdh","Te Vi",46,"la Republica Dominicana",0.877,0.777,1,-4.246,1,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,231848,4,"2018-12-14"
"99","Ta To Gucci (Remix)",79,"Cauty","Cauty feat. Brytiago feat. Darell feat. Cosculluela feat. Rafa Pabön feat. Chencho Corleone","Cauty VS Young Cauty",47,"la Republica Dominicana",0.73,0.648,1,-6.405,0,0.378,0.383,0.000112,0.103,0.675,187.991,304859,4,"2018-12-07"
